timestamp,meid,cell_id,node_id,format,DRB_MeanActiveUeDl,DRB_PdcpSduDelayDl,RRU_PrbUsedDl,TB_TotNbrDlInitial_16Qam,TB_TotNbrDlInitial_64Qam,TB_TotNbrDlInitial_Qpsk,UE_DRB_BlerDl_UEID,UE_DRB_EstabSucc_5QI_UEID,UE_DRB_PdcpSduDelayDl_UEID,UE_DRB_RelActNbr_5QI_UEID,UE_DRB_UEThpDl_UEID,UE_HO_SrcCellQual_RS-SINR_UEID,UE_HO_TrgtCellQual_RS-SINR_UEID,UE_RRU_PrbUsedDl_UEID,UE_TB_TotNbrDlInitial_16Qam_UEID,UE_TB_TotNbrDlInitial_64Qam_UEID,UE_TB_TotNbrDlInitial_Qpsk_UEID
030303031,3,F1,,0.0,,11.071305,,,,,,,,,,,,,,,
2025-12-08T16:22:09.873816+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,0.0,,0.0,,,,,,,,
2025-12-08T16:22:09.873882+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,0.0,,23.571002,,,,,,,,
2025-12-08T16:22:09.874041+00:00,gnb:131-133-31000000,unknown,2,F1,,,,,,,,,,,,,,,,,
2025-12-08T16:22:09.874098+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,,1,,0,,,,,,,
2025-12-08T16:22:09.874156+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,,1,,0,,,,,,,
2025-12-08T16:22:09.876846+00:00,gnb:131-133-31000000,CELL_1111,2,F1,2,,119,0,0,400,,,,,,,,,,,
2025-12-08T16:22:09.876939+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,,,,,17642.604095,,,119,0,0,400
2025-12-08T16:22:09.877003+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,,,,,0.0,,,0,0,0,0
2025-12-08T16:22:10.081734+00:00,gnb:131-133-31000000,unknown,2,F1,,11.790528,,,,,,,,,,,,,,,
2025-12-08T16:22:10.081901+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,0.0,,0.0,,,,,,,,
2025-12-08T16:22:10.082118+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,0.0,,23.581055,,,,,,,,
2025-12-08T16:22:10.083626+00:00,gnb:131-133-31000000,unknown,2,F1,,,,,,,,,,,,,,,,,
2025-12-08T16:22:10.083716+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,,1,,0,,,,,,,
2025-12-08T16:22:10.083821+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,,1,,0,,,,,,,
2025-12-08T16:22:10.084001+00:00,gnb:131-133-31000000,CELL_1111,2,F1,2,,119,0,0,400,,,,,,,,,,,
2025-12-08T16:22:10.084064+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,,,,,0.0,,,0,0,0,0
2025-12-08T16:22:10.084122+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,,,,,17584.531123,,,119,0,0,400
2025-12-08T16:22:10.293905+00:00,gnb:131-133-31000000,unknown,2,F1,,11.792467,,,,,,,,,,,,,,,
2025-12-08T16:22:10.294017+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,0.0,,0.0,,,,,,,,
2025-12-08T16:22:10.294084+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,0.0,,23.584935,,,,,,,,
2025-12-08T16:22:10.294246+00:00,gnb:131-133-31000000,unknown,2,F1,,,,,,,,,,,,,,,,,
2025-12-08T16:22:10.294304+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,,1,,0,,,,,,,
2025-12-08T16:22:10.294362+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,,1,,0,,,,,,,
2025-12-08T16:22:10.294505+00:00,gnb:131-133-31000000,CELL_1111,2,F1,2,,119,0,0,400,,,,,,,,,,,
2025-12-08T16:22:10.294571+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,,,,,17528.589943,,,119,0,0,400
2025-12-08T16:22:10.294636+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,,,,,0.0,,,0,0,0,0
2025-12-08T16:22:10.529599+00:00,gnb:131-133-31000000,unknown,2,F1,,11.771631,,,,,,,,,,,,,,,
2025-12-08T16:22:10.529727+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,0.0,,0.0,,,,,,,,
2025-12-08T16:22:10.529799+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,0.0,,23.543261,,,,,,,,
2025-12-08T16:22:10.730141+00:00,gnb:131-133-31000000,unknown,2,F1,,,,,,,,,,,,,,,,,
2025-12-08T16:22:10.730245+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,,1,,0,,,,,,,
2025-12-08T16:22:10.730309+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,,1,,0,,,,,,,
2025-12-08T16:22:10.730736+00:00,gnb:131-133-31000000,CELL_1111,2,F1,2,,119,0,0,400,,,,,,,,,,,
2025-12-08T16:22:10.730938+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,,,,,0.0,,,0,0,0,0
2025-12-08T16:22:10.731101+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,,,,,17474.663601,,,119,0,0,400
2025-12-08T16:22:10.938391+00:00,gnb:131-133-31000000,unknown,2,F1,,11.770386,,,,,,,,,,,,,,,
2025-12-08T16:22:10.938499+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,0.0,,23.540771,,,,,,,,
